page,clicks,impressions,ctr,position
https://drommeguiden.no/drommer/,449,17915,2.5,5.6
https://drommeguiden.no/sv/drommar/orm/,197,11030,1.8,5.8
https://drommeguiden.no/sv/drommar/avliden-person/,314,9613,3.3,5.2
https://drommeguiden.no/sv/drommar/fjaril/,58,8747,0.7,7.6
https://drommeguiden.no/sv/kategori/djur/,143,6878,2.1,6.3
https://drommeguiden.no/sv/drommar/,49,4799,1,7.9
https://drommeguiden.no/drommer/tann/,54,4701,1.1,5.9
https://drommeguiden.no/sv/drommar/doda/,68,4118,1.7,5.1
https://drommeguiden.no/sv/drommar/bil/,116,4053,2.9,4.2
https://drommeguiden.no/sv/drommar/hund/,188,3963,4.7,4.3
https://drommeguiden.no/drommer/avdod-person/,115,3922,2.9,5.7
https://drommeguiden.no/sv/drommar/gravid/,80,3795,2.1,6.2
https://drommeguiden.no/sv/drommar/fagel/,122,3683,3.3,4.8
https://drommeguiden.no/sv/drommar/otrohet/,20,3642,0.5,8.6
https://drommeguiden.no/sv/drommar/katt/,88,3587,2.5,6.0
https://drommeguiden.no/sv/drommar/tand/,45,3441,1.3,8.3
https://drommeguiden.no/sv/drommar/rav/,60,3416,1.8,6.2
https://drommeguiden.no/sv/drommar/hus/,105,3232,3.2,4.9
https://drommeguiden.no/sv/drommar/do/,73,3192,2.3,6.5
https://drommeguiden.no/sv/drommar/har/,111,3181,3.5,4.6
https://drommeguiden.no/drommer/sommerfugl/,34,3107,1.1,7.4
https://drommeguiden.no/sv/drommar/brand/,179,3053,5.9,3.1
https://drommeguiden.no/sv/,25,2876,0.9,16.4
https://drommeguiden.no/sv/drommar/sex/,61,2835,2.2,6.2
https://drommeguiden.no/sv/drommar/hast/,130,2548,5.1,3.1
https://drommeguiden.no/sv/drommar/falla/,30,2454,1.2,5.6
https://drommeguiden.no/sv/drommar/bjorn/,105,2414,4.3,4.9
https://drommeguiden.no/drommer/slange/,102,2324,4.4,4.7
https://drommeguiden.no/sv/drommar/barn/,63,2295,2.7,5.5
https://drommeguiden.no/sv/drommar/bli-skjuten/,73,2256,3.2,4.2
https://drommeguiden.no/sv/drommar/kraka/,55,2173,2.5,5.2
https://drommeguiden.no/sv/drommar/ratta/,138,2064,6.7,3.3
https://drommeguiden.no/sv/guider/farger-i-drommar/,59,1991,3,5.1
https://drommeguiden.no/drommer/do/,23,1982,1.2,7.7
https://drommeguiden.no/sv/drommar/varg/,138,1980,7,4.2
https://drommeguiden.no/drommer/utroskap-partner/,79,1963,4,5.1
https://drommeguiden.no/sv/drommar/drunkna/,55,1860,3,4.1
https://drommeguiden.no/sv/drommar/ex/,26,1844,1.4,6.2
https://drommeguiden.no/sv/drommar/groda/,67,1755,3.8,4.1
https://drommeguiden.no/sv/guider/barn-och-drommar/,12,1743,0.7,9.7
https://drommeguiden.no/drommer/gravid/,25,1656,1.5,6.4
https://drommeguiden.no/,50,1654,3,7.6
https://drommeguiden.no/sv/drommar/alg/,74,1622,4.6,4.6
https://drommeguiden.no/kategori/dyr/,28,1616,1.7,6.9
https://drommeguiden.no/drommer/hund/,43,1531,2.8,5.3
https://drommeguiden.no/sv/drommar/spindel/,20,1526,1.3,6.8
https://drommeguiden.no/drommer/utroskap/,51,1471,3.5,6.8
https://drommeguiden.no/drommer/falle/,27,1426,1.9,5.0
https://drommeguiden.no/drommer/katt/,27,1423,1.9,6.0
https://drommeguiden.no/sv/drommar/separation/,59,1398,4.2,4.5
https://drommeguiden.no/sv/kategori/kropp/,27,1395,1.9,5.8
https://drommeguiden.no/drommer/krage/,21,1366,1.5,6.5
https://drommeguiden.no/drommer/drepe/,44,1365,3.2,5.0
https://drommeguiden.no/sovn/melatonin/,3,1363,0.2,64.0
https://drommeguiden.no/sv/drommar/orgasm/,34,1337,2.5,7.6
https://drommeguiden.no/drommer/rev/,38,1335,2.8,4.7
https://drommeguiden.no/sv/drommar/flyga/,22,1320,1.7,5.3
https://drommeguiden.no/sv/drommar/toalett/,39,1319,3,4.5
https://drommeguiden.no/sv/drommar/slass/,39,1304,3,4.2
https://drommeguiden.no/sv/drommar/geting/,60,1303,4.6,3.3
https://drommeguiden.no/drommer/edderkopp/,39,1248,3.1,4.7
https://drommeguiden.no/sv/drommar/regnbage/,20,1227,1.6,6.4
https://drommeguiden.no/drommer/bil/,39,1216,3.2,4.6
https://drommeguiden.no/sv/drommar/partner/,27,1183,2.3,5.5
https://drommeguiden.no/sv/drommar/naken/,15,1173,1.3,6.1
https://drommeguiden.no/drommer/baby/,51,1168,4.4,5.2
https://drommeguiden.no/drommer/flyging/,43,1161,3.7,4.7
https://drommeguiden.no/sv/drommar/sno/,72,1148,6.3,2.9
https://drommeguiden.no/sv/drommar/brollop/,24,1108,2.2,5.0
https://drommeguiden.no/sv/drommar/vara-gravid-man/,5,1094,0.5,8.2
https://drommeguiden.no/sv/drommar/vilse/,88,1091,8.1,3.2
https://drommeguiden.no/sv/drommar/gammal-van/,35,1069,3.3,4.7
https://drommeguiden.no/sv/drommar/orn/,28,1064,2.6,5.7
https://drommeguiden.no/sv/drommar/guld/,76,1061,7.2,3.4
https://drommeguiden.no/drommer/fugl/,48,1054,4.6,4.9
https://drommeguiden.no/sv/drommar/grata/,53,1051,5,3.5
https://drommeguiden.no/drommer/bli-skutt/,37,1037,3.6,4.3
https://drommeguiden.no/sv/drommar/mat/,31,1026,3,4.2
https://drommeguiden.no/sv/drommar/hav/,36,1012,3.6,7.7
https://drommeguiden.no/drommer/har/,34,997,3.4,4.4
https://drommeguiden.no/sv/drommar/ex-sex/,26,986,2.6,6.4
https://drommeguiden.no/sovn/sovnfaser/,1,979,0.1,41.6
https://drommeguiden.no/drommer/hus/,37,978,3.8,5.3
https://drommeguiden.no/sv/drommar/telefon/,42,976,4.3,4.4
https://drommeguiden.no/sv/drommar/naglar/,68,960,7.1,3.2
https://drommeguiden.no/sv/drommar/otrohet-partner/,7,940,0.7,10.3
https://drommeguiden.no/guider/barn-og-drommer/,6,937,0.6,8.1
