query,clicks,impressions,ctr,position
dårlig søvn gravid,0,65,0,70.9
dårlig søvn under graviditet,0,42,0,69.5
søvn og graviditet,0,36,0,70.2
vågen om natten gravid,0,26,0,78.2
svært ved at sove gravid,0,17,0,89.8
gravid søvnproblemer,0,14,0,53.3
søvnproblemer gravid 2 trimester,0,14,0,56.5
søvn graviditet,0,11,0,70.8
gravid søvnproblemer 1 trimester,0,8,0,38.0
søvnproblemer gravid,0,8,0,44.1
gravid søvn,0,4,0,39.2
søvnløshed gravid,0,4,0,83.5
gravid sover dårlig,0,3,0,36.0
søvn gravid,0,3,0,52.0
dårlig søvn tidlig graviditet,0,2,0,36.0
sover dårlig gravid,0,2,0,45.0
insomnia gravid,0,2,0,48.5
gravid drømmer,0,1,0,15.0
dårlig søvn gravid 2 trimester,0,1,0,28.0
gravid søvnløs,0,1,0,40.0
søvnløs gravid 2 trimester,0,1,0,68.0
gravid kan ikke sove om natten,0,1,0,79.0
gravid søvnløshed,0,1,0,84.0
sömn graviditet,0,1,0,96.0
sömn gravid,0,1,0,99.0
gravid sömn,0,1,0,100.0
