query,clicks,impressions,ctr,position
søvnapne,0,82,0,78.0
søvnapné,0,57,0,77.7
søvnapne symptomer,0,44,0,60.7
søvnapne behandling,0,39,0,68.8
søvnapné behandling,0,30,0,70.8
symptomer søvnapne,0,20,0,57.4
hva er søvnapné,0,14,0,71.7
søvn apne,0,13,0,67.5
søvnapné utredning,0,12,0,71.8
søvnapné årsaker,0,9,0,57.2
pustestopp i søvne,0,9,0,74.0
hva er søvnapne,0,8,0,69.0
symptomer på søvnapne,0,3,0,64.0
søvnapne farlig,0,3,0,67.3
er søvnapne farlig,0,3,0,68.7
pustestopp søvn,0,3,0,69.0
behandling søvnapne,0,3,0,70.0
søvnapne utredning,0,3,0,72.0
søvnapne antall pustestopp,0,3,0,84.0
pustestans,0,3,0,92.0
søvnapné konsekvenser,0,2,0,45.5
mild søvnapne,0,2,0,50.0
behandling av søvnapne,0,2,0,64.0
er søvnapné farlig,0,2,0,64.0
søvnapne uten snorking,0,2,0,65.5
søvnapne årsak,0,2,0,66.0
søvnapne arvelig,0,2,0,67.5
alvorlig søvnapne,0,2,0,71.0
moderat søvnapne,0,1,0,63.0
søvnapné årsak,0,1,0,63.0
