query,clicks,impressions,ctr,position
søvnproblemer behandling,0,105,0,77.5
insomni,0,102,0,78.3
søvnproblemer,0,85,0,60.4
dårlig søvn,0,75,0,95.2
innsovningsproblemer,0,62,0,65.4
søvnproblem,0,28,0,76.9
dårlig søvnkvalitet,0,17,0,92.7
insomnia symptomer,0,12,0,82.8
innsovningsvansker,0,11,0,83.4
insomni behandling,0,9,0,70.0
site:drommeguiden.no,0,7,0,53.0
behandling av søvnproblemer,0,5,0,76.2
hjelp med søvnproblemer,0,5,0,86.8
kronisk insomni,0,4,0,60.5
hva er insomni,0,4,0,73.2
insomnia,0,3,0,81.7
insomni definisjon,0,2,0,57.5
nhi søvn,0,2,0,62.0
insomni symptomer,0,2,0,67.5
behandling søvnproblemer,0,2,0,70.0
insomnia behandling,0,2,0,76.5
insomnia norsk,0,2,0,84.0
problemer med å sovne,0,2,0,86.0
problemer med innsovning,0,2,0,89.5
søvnforstyrrelser,0,2,0,99.5
store søvnproblemer,0,1,0,35.0
insomnia definisjon,0,1,0,72.0
ikke organisk insomni,0,1,0,73.0
søvnproblemer diagnose,0,1,0,73.0
kronisk søvnmangel,0,1,0,77.0
hva er insomnia,0,1,0,78.0
problemer med å sove,0,1,0,80.0
søvnproblemer voksen,0,1,0,83.0
søvnproblemer voksne,0,1,0,83.0
alvorlige søvnproblemer,0,1,0,85.0
søvnvansker behandling,0,1,0,90.0
problemer med søvn,0,1,0,100.0
