query,clicks,impressions,ctr,position
sömn graviditet,0,48,0,26.1
sömn gravid,0,43,0,28.0
drömmar gravid,0,11,0,14.2
gravid sömnproblem,0,10,0,32.7
sömnproblem gravid,0,9,0,46.6
gravid sömn,0,8,0,41.8
gravid drömmar,0,7,0,16.1
sömnsvårigheter gravid,0,7,0,66.1
sover dåligt gravid,0,7,0,77.7
svårt att sova gravid,0,6,0,79.3
sömnproblem gravid andra trimestern,0,4,0,18.8
gravid sover dåligt,0,4,0,76.0
gravid drømmer,0,3,0,60.0
kan inte sova gravid,0,3,0,75.7
gravid svårt att sova,0,3,0,78.7
sömnproblem gravid tredje trimestern,0,2,0,21.0
dålig sömn gravid,0,2,0,44.0
drömmar gravid tidigt,0,1,0,15.0
drömmer mycket gravid,0,1,0,19.0
mareritt gravid,0,1,0,50.0
drømmer gravid,0,1,0,61.0
sova gravid,0,1,0,69.0
svårt att somna gravid,0,1,0,74.0
hur ska man sova som gravid,0,1,0,76.0
sömnbrist gravid,0,1,0,78.0
