query,clicks,impressions,ctr,position
sömnbehov,0,30,0,33.8
hur mycket djupsömn behöver man,0,21,0,85.9
søvnbehov,0,12,0,84.8
hur mycket sömn behöver en vuxen,0,11,0,57.1
hur länge ska man sova,0,11,0,89.5
hur mycket rem sömn behöver man,0,11,0,91.9
sömnbehov vuxen,0,10,0,63.0
hur många timmars sömn behöver en vuxen,0,8,0,57.5
hur många timmar behöver man sova,0,8,0,89.1
hur mycket sömn,0,7,0,65.3
rekommenderad sömn,0,7,0,80.0
sömn vuxen,0,7,0,83.1
hur många timmars sömn,0,6,0,62.2
hur många timmars sömn behöver man,0,6,0,90.2
hur mycket sömn behöver man,0,5,0,63.8
hur mycket bör man sova,0,5,0,85.6
hur mycket ska man sova,0,4,0,82.5
sömn timmar,0,3,0,71.3
4 timmars sömn,0,3,0,73.3
hur länge bör man sova,0,3,0,78.7
sömn per natt,0,3,0,80.3
hvor mye rem søvn trenger man,0,3,0,87.3
hur mycket behöver man sova,0,3,0,88.0
hur länge behöver man sova,0,3,0,91.0
sömnbehov synonym,0,2,0,40.0
hur mycket sömn behöver kvinnor,0,2,0,61.5
hur många timmar ska man sova,0,2,0,84.5
hur mycket djupsömn behöver man per natt,0,2,0,88.5
hur många timmar sömn behöver man,0,2,0,93.5
hur lång djupsömn ska man ha,0,2,0,94.0
stort sömnbehov,0,1,0,51.0
sova 6 timmar per natt,0,1,0,58.0
är 6 timmars sömn för lite,0,1,0,58.0
räcker 7 timmars sömn,0,1,0,59.0
räcker 5 timmars sömn,0,1,0,71.0
hur mycket sömn behöver man i olika åldrar,0,1,0,76.0
hur mycket ska en vuxen sova,0,1,0,77.0
hur många timmar måste man sova,0,1,0,77.0
3 timmars sömn,0,1,0,83.0
hur länge ska en vuxen sova,0,1,0,83.0
normal djupsömn per natt,0,1,0,90.0
hur mycket rem-sömn behöver man per natt,0,1,0,92.0
stort søvnbehov,0,1,0,93.0
hur mycket rem-sömn behöver man,0,1,0,95.0
hur många timmar rem sömn behöver man,0,1,0,95.0
sömn fakta,0,1,0,97.0
hur många timmar bör man sova,0,1,0,100.0
sömnkurva,0,1,0,100.0
