sommerfugl	sommerfugl
drepe	at-draebe
bil	bil
utroskap	utroskab
fugl	fugl
rev	raev
hus	hus
brann	brand
har	haar
sex	sex
bli-skutt	at-blive-skudt
krage	krage
hest	hest
bjorn	bjoern
barn	barn
utroskap-partner	partneren-er-utro
rotte	rotte
eksen	eksen
ulv	ulv
drukne	at-drukne
frosk	froe
elg	elg
naken	at-vaere-noegen
skille-lag	at-gaa-fra-hinanden
sno	sne
veps	hveps
toalett	toilet
krig	krig
hav	hav
kjaereste	kaeresten
regnbue	regnbue
sloss	at-slaas
bryllup	bryllup
baby	baby
eksen-sex	sex-med-eksen
orgasme	orgasme
miste-noe	at-miste-noget
tiger	tiger
trapp	trappe
gull	guld
gammel-venn	gammel-ven
elefant	elefant
telefon	telefon
kyss	kys
sykdom	at-blive-syg
mat	mad
orn	oern
foede	at-foede
kjaerlighet	kaerlighed
grate	at-graede
oyne	oejne
love	loeve
kjole	kjole
fremmed	en-fremmed
ring	ring
mus	mus
blod	blod
bli-fortapt	at-fare-vild
nagle	negle
dor	doer
fengsel	faengsel
penger	penge
vinne-penger	at-vinde-penge
nokler	noegler
blomst	blomster
vaere-gravid-mann	gravid-mand
tog	tog
tre	trae
ulykke	ulykke
innbruddstyv	indbrudstyv
forfulgt	at-blive-forfulgt
koffert	kuffert
krokodille	krokodille
fodsel	foedsel
drukne-barn	barn-der-drukner
flom	oversvoemmelse
buss	bus
hai	haj
hender	haender
hjort	hjort
alkohol	alkohol
lynet	lyn
delfin	delfin
maur	myre
speil	spejl
kollega-sex	sex-med-kollega
sykkel	cykel
svomme	at-svoemme
bie	bi
fremmed-sex	sex-med-fremmed
sykehus	hospital
ku	ko
ild	ild
soester	din-soester
fjell	bjerg
stein	sten
skole	skole
menstruasjon	menstruation
sjef	din-chef
ammende	amning
hval	hval
sen	at-komme-for-sent
miste-baby	at-miste-et-barn
fot	foedder
fly-styrter	flyulykke
bro	bro
vindu	vindue
fly-misser	at-misse-flyet
storm	storm
tvillinger	tvillinger
mor	din-mor
bad	bad
far	din-far
djevel	djaevlen
bil-uten-brems	bil-uden-bremser
skog	skov
tornado	tornado
saar	saar
ore	oerer
redde-noen	at-redde-nogen
krabbe	krabbe
hjerte	hjertet
gris	gris
bein	ben
engler	engle
kirke	kirke
homofil-drom	homoseksuel-sex
bror	din-bror
drage	drage
skip	skib
strand	strand
regn	regn
dans	at-danse
jobbe-drom	arbejde
musikk	musik
stjerner	stjerner
operasjon	operation
papegoy	papegoeje
orm	orm
bestemor	din-bedstemor
lys	lys
mane	maanen
utlandet	udlandet
kjeller	kaelder
elv	flod
munn	munden
helvete	helvede
himmel	himlen
bryst	bryst
sol	solen
jordskjelv	jordskaelv
morkt-rom	moerkt-rum
is	is
eksamen	eksamen
troll	trold
samleie	samleje
forlovelse	forlovelse
baby-gutt	dreng-eller-pige
overfalt	at-blive-overfaldet
sau	faar
vei	vej
vinne	at-vinde
reinsdyr	rensdyr
hud	hud
sopp	svamp
hode	hovedet
pingvin	pingvin
krangel	at-skaendes
rose	rose
nabo	din-nabo
nordlys	nordlys
mage	maven
jord	jord
hage	have
laks	laks
fjord	fjord
gullfisk	guldfisk
rygg	ryggen
loft	loft
fingre	fingre
nisse	nisse
moerke	moerke
hytte	hytte
bli-reddet	at-blive-reddet
gud	gud
onkel	din-onkel
orken	oerken
vann	vand
skamme	skam
bestefar	din-bedstefar
oke	eg
tape	at-tabe
tante	din-tante
snoskred	lavine
stavkirke	stavkirke
underliv	underliv
oase	oase
lykke	lykke
bok	bog
ensomhet	ensomhed
vikingskip	vikingeskib
arr	ar
bunad	nationaldragt
barndomshjemmet	barndomshjemmet
basseng	swimmingpool
bolge	boelger
bronn	broend
dod-far	din-afdoede-far
dod-mor	din-afdoede-mor
dod-partner	din-afdoede-partner
dode-slektninger	afdoede-slaegtninge
dykke	at-dykke
fisk	fisk
foss	vandfald
ikke-fa-lopt	ikke-kunne-loebe
ikke-fa-puste	ikke-kunne-traekke-vejret
ikke-fa-skreket	ikke-kunne-skrige
innsjo	soe
internett	internettet
klokka-stemmer-ikke	uret-passer-aldrig
mange-slanger	mange-slanger
noen-dor	at-nogen-doer
skittent-vann	snavset-vand
slange-angriper	slange-der-angriber
snakke-med-avdod	at-tale-med-en-afdoed
sosiale-medier	sociale-medier
torke	toerke
tsunami	tsunami
ukjente-rom	ukendte-rum
vaere-utro	at-vaere-utro
vannlekkasje	vandskade
