avdod-person	deceased-person	verstorbene-person
slange	snake	schlange
sommerfugl	butterfly	schmetterling
tann	teeth	zaehne-verlieren
drepe	killing	jemanden-toeten
gravid	pregnant	schwanger-sein
hund	dog	hund
bil	car	auto
do	dying	sterben
katt	cat	katze
utroskap	infidelity	untreue
fugl	bird	vogel
rev	fox	fuchs
hus	house	haus
brann	fire	feuer
har	hair	haare
falle	falling	fallen
sex	sex	sex
bli-skutt	being-shot	erschossen-werden
krage	crow	kraehe
hest	horse	pferd
bjorn	bear	baer
barn	child	kind
edderkopp	spider	spinne
utroskap-partner	partner-cheating	partner-betruegt
rotte	rat	ratte
eksen	ex	ex-partner
ulv	wolf	wolf
drukne	drowning	ertrinken
flyging	flying	fliegen
frosk	frog	frosch
elg	moose	elch
naken	naked	nackt-sein
skille-lag	breaking-up	trennung
sno	snow	schnee
veps	wasp	wespe
toalett	toilet	toilette
krig	war	krieg
hav	ocean	meer
kjaereste	partner	partnerin-oder-partner
regnbue	rainbow	regenbogen
sloss	fighting	kaempfen
bryllup	wedding	hochzeit
baby	baby	baby
eksen-sex	sex-with-an-ex	sex-mit-dem-ex
orgasme	orgasm	orgasmus
miste-noe	losing-something	etwas-verlieren
tiger	tiger	tiger
trapp	stairs	treppe
gull	gold	gold
gammel-venn	old-friend	alter-freund
elefant	elephant	elefant
telefon	phone	telefon
kyss	kiss	kuss
sykdom	illness	krankheit
mat	food	essen
orn	eagle	adler
foede	giving-birth	gebaeren
kjaerlighet	love	liebe
grate	crying	weinen
oyne	eyes	augen
love	lion	loewe
kjole	dress	kleid
fremmed	stranger	fremder
ring	ring	ring
mus	mouse	maus
blod	blood	blut
bli-fortapt	being-lost	sich-verirren
nagle	nails	naegel
dor	door	tuer
