Land,Klikk,Visninger,Klikkfrekvens,Plassering
Norge,980,35936,2.73%,11.06
Sverige,874,31645,2.76%,8.92
Finland,25,519,4.82%,6.51
Danmark,6,413,1.45%,44.63
Spania,3,185,1.62%,9.04
Frankrike,3,43,6.98%,10.3
Italia,1,55,1.82%,7.55
Storbritannia,1,44,2.27%,7.59
Irak,1,28,3.57%,6.36
Thailand,1,25,4%,6.04
Belgia,1,19,5.26%,6.21
Færøyene,1,17,5.88%,9
Mexico,1,13,7.69%,5.54
Egypt,1,11,9.09%,9.09
Etiopia,1,5,20%,19.4
Ukraina,1,3,33.33%,6.67
Sør-Sudan,1,1,100%,5
USA,0,406,0%,10.36
Hellas,0,78,0%,8.56
Åland,0,68,0%,6.09
Nederland,0,51,0%,21.69
Tyskland,0,50,0%,11.4
India,0,44,0%,22.57
Indonesia,0,37,0%,20.68
Tyrkia,0,27,0%,8.7
Australia,0,26,0%,7.54
Canada,0,25,0%,7.36
Sveits,0,23,0%,7.39
Polen,0,21,0%,9.81
Vietnam,0,20,0%,21.35
Portugal,0,18,0%,8.17
Brasil,0,16,0%,5.62
Sør-Korea,0,16,0%,18.69
Grønland,0,14,0%,9.21
Colombia,0,14,0%,13.14
Albania,0,12,0%,5.83
Kypros,0,12,0%,6.25
Ungarn,0,12,0%,8.92
Filippinene,0,12,0%,37.83
Latvia,0,11,0%,6
Kroatia,0,11,0%,9.64
Japan,0,11,0%,12.36
Argentina,0,11,0%,17.82
Kosovo,0,10,0%,5.2
Østerrike,0,9,0%,7
Estland,0,8,0%,6.5
Malaysia,0,8,0%,27
New Zealand,0,7,0%,6.86
Island,0,7,0%,7.43
Hongkong,0,7,0%,7.71
Bulgaria,0,7,0%,9.71
Serbia,0,7,0%,22.71
De forente arabiske emirater,0,7,0%,26.57
Kina,0,6,0%,5.83
Tsjekkia,0,6,0%,7.17
Litauen,0,6,0%,8.17
Bosnia og Herzegovina,0,6,0%,9.5
Chile,0,6,0%,13.67
Svalbard og Jan Mayen,0,5,0%,5.6
Kenya,0,5,0%,6.6
Marokko,0,5,0%,6.8
Taiwan,0,5,0%,6.8
Venezuela,0,5,0%,7
Peru,0,5,0%,9
Romania,0,5,0%,12.2
Russland,0,5,0%,17.4
Den dominikanske republikk,0,5,0%,24.8
Sør-Afrika,0,5,0%,28.4
Malta,0,4,0%,5.25
Singapore,0,4,0%,9.25
Israel,0,4,0%,9.5
Bolivia,0,4,0%,18
Ecuador,0,4,0%,28
Irland,0,3,0%,2.67
Saudi-Arabia,0,3,0%,4
Ghana,0,3,0%,6
Tunis,0,3,0%,6
Libanon,0,3,0%,8
Uganda,0,3,0%,8
Algerie,0,3,0%,11.67
Pakistan,0,3,0%,16.33
Seychellene,0,2,0%,6
Tanzania,0,2,0%,6.5
Nepal,0,2,0%,7
Syria,0,2,0%,7
Honduras,0,2,0%,7.5
Iran,0,2,0%,8
Belarus,0,2,0%,9
Palestina,0,2,0%,19
Slovenia,0,2,0%,22
Guatemala,0,2,0%,44
Madagaskar,0,1,0%,3
Nigeria,0,1,0%,3
Panama,0,1,0%,5
Jordan,0,1,0%,6
El Salvador,0,1,0%,6
Somalia,0,1,0%,7
Myanmar (Burma),0,1,0%,9
Luxembourg,0,1,0%,10
Slovakia,0,1,0%,10
Mongolia,0,1,0%,12
Namibia,0,1,0%,13
Aserbajdsjan,0,1,0%,14
Zambia,0,1,0%,18
Tadsjikistan,0,1,0%,20
Bhutan,0,1,0%,23
Bangladesh,0,1,0%,44
Jamaica,0,1,0%,84
