Dato,Klikk,Visninger,Klikkfrekvens,Plassering
2026-03-16,0,0,,
2026-03-17,0,0,,
2026-03-18,0,2,0%,10.5
2026-03-19,1,12,8.33%,6.6
2026-03-20,1,25,4%,7.6
2026-03-21,4,88,4.55%,7
2026-03-22,4,178,2.25%,7.7
2026-03-23,6,188,3.19%,7.6
2026-03-24,7,238,2.94%,7.4
2026-03-25,11,347,3.17%,9.4
2026-03-26,14,459,3.05%,9.7
2026-03-27,5,376,1.33%,9.3
2026-03-28,21,466,4.51%,10.5
2026-03-29,16,434,3.69%,11.6
2026-03-30,12,410,2.93%,11.9
2026-03-31,13,375,3.47%,11.9
2026-04-01,13,378,3.44%,14.4
2026-04-02,10,421,2.38%,13.1
2026-04-03,11,395,2.78%,14.4
2026-04-04,7,369,1.9%,13.8
2026-04-05,8,398,2.01%,13.3
2026-04-06,10,358,2.79%,12.3
2026-04-07,6,300,2%,14.8
2026-04-08,8,331,2.42%,14.7
2026-04-09,5,319,1.57%,15.6
2026-04-10,7,289,2.42%,14.1
2026-04-11,8,286,2.8%,14
2026-04-12,5,332,1.51%,13.7
2026-04-13,7,342,2.05%,12.5
2026-04-14,5,293,1.71%,13.8
2026-04-15,6,375,1.6%,15.9
2026-04-16,12,354,3.39%,15.3
2026-04-17,11,366,3.01%,18.7
2026-04-18,7,292,2.4%,15.8
2026-04-19,9,404,2.23%,12.6
2026-04-20,5,341,1.47%,13.7
2026-04-21,5,316,1.58%,13.5
2026-04-22,7,347,2.02%,12.5
2026-04-23,7,305,2.3%,14.6
2026-04-24,5,268,1.87%,14.7
2026-04-25,10,219,4.57%,14.8
2026-04-26,6,408,1.47%,17.9
2026-04-27,8,330,2.42%,11.4
2026-04-28,11,461,2.39%,13.6
2026-04-29,7,525,1.33%,11.1
2026-04-30,8,600,1.33%,10.6
2026-05-01,23,862,2.67%,8.7
2026-05-02,22,987,2.23%,9.2
2026-05-03,27,1160,2.33%,8.9
2026-05-04,23,1078,2.13%,9.7
2026-05-05,32,1060,3.02%,9.7
2026-05-06,21,939,2.24%,10.2
2026-05-07,30,923,3.25%,9.7
2026-05-08,26,1168,2.23%,14.2
2026-05-09,32,1032,3.1%,9
2026-05-10,35,1531,2.29%,15.2
2026-05-11,27,1105,2.44%,10.4
2026-05-12,25,1067,2.34%,10.5
2026-05-13,24,1022,2.35%,9.7
2026-05-14,33,1274,2.59%,8.7
2026-05-15,26,1082,2.4%,10.3
2026-05-16,33,1105,2.99%,9.7
2026-05-17,24,965,2.49%,10.9
2026-05-18,27,1139,2.37%,10.7
2026-05-19,24,1078,2.23%,11.4
2026-05-20,32,1033,3.1%,11.2
2026-05-21,29,1109,2.61%,9.9
2026-05-22,34,1072,3.17%,10.7
2026-05-23,28,1137,2.46%,10.7
2026-05-24,36,1372,2.62%,10
2026-05-25,49,1466,3.34%,9.2
2026-05-26,36,1305,2.76%,10
2026-05-27,29,1235,2.35%,9.4
2026-05-28,33,1377,2.4%,9.2
2026-05-29,49,1374,3.57%,9
2026-05-30,44,1473,2.99%,8.2
2026-05-31,53,1599,3.31%,8.1
2026-06-01,50,1547,3.23%,8.6
2026-06-02,46,1499,3.07%,8.7
2026-06-03,36,1545,2.33%,8.8
2026-06-04,42,1668,2.52%,8.6
2026-06-05,48,1651,2.91%,8.8
2026-06-06,58,1823,3.18%,9
2026-06-07,81,2151,3.77%,7.8
2026-06-08,67,1941,3.45%,7.6
2026-06-09,57,2018,2.82%,7.8
2026-06-10,53,1869,2.84%,8.4
2026-06-11,49,2085,2.35%,10.9
