tier,filsti,slug,ordtelling,gsc_klikk_3mnd,gsc_visninger_3mnd,kategori
KRITISK_TYNN,src/content/drommer/stein.md,stein,365,2,65,gjenstander
KRITISK_TYNN,src/content/drommer/buss.md,buss,370,10,175,steder
KRITISK_TYNN,src/content/drommer/fingre.md,fingre,373,0,46,kropp
KRITISK_TYNN,src/content/drommer/operasjon.md,operasjon,373,1,37,hendelser
KRITISK_TYNN,src/content/drommer/bror.md,bror,384,3,36,mennesker
KRITISK_TYNN,src/content/drommer/frosk.md,frosk,389,2,161,dyr
KRITISK_TYNN,src/content/drommer/bestemor.md,bestemor,396,0,27,mennesker
KRITISK_TYNN,src/content/drommer/hjort.md,hjort,398,2,112,dyr
KRITISK_TYNN,src/content/drommer/krokodille.md,krokodille,398,5,93,dyr
MISTANKE,src/content/drommer/skip.md,skip,404,1,73,steder
MISTANKE,src/content/drommer/pingvin.md,pingvin,405,2,46,dyr
MISTANKE,src/content/drommer/ring.md,ring,408,7,91,gjenstander
MISTANKE,src/content/drommer/blomst.md,blomst,409,8,159,natur
MISTANKE,src/content/drommer/papegoy.md,papegoy,409,2,58,dyr
MISTANKE,src/content/drommer/tornado.md,tornado,409,2,35,natur
MISTANKE,src/content/drommer/lynet.md,lynet,410,3,51,natur
MISTANKE,src/content/drommer/maur.md,maur,412,3,144,dyr
MISTANKE,src/content/drommer/jord.md,jord,417,3,39,natur
MISTANKE,src/content/drommer/koffert.md,koffert,417,5,126,gjenstander
MISTANKE,src/content/drommer/stjerner.md,stjerner,417,1,30,natur
MISTANKE,src/content/drommer/reinsdyr.md,reinsdyr,418,4,60,natur
MISTANKE,src/content/drommer/mane.md,mane,420,1,49,natur
MISTANKE,src/content/drommer/gammel-venn.md,gammel-venn,421,3,73,mennesker
MISTANKE,src/content/drommer/mage.md,mage,422,1,19,kropp
MISTANKE,src/content/drommer/hai.md,hai,423,10,107,dyr
MISTANKE,src/content/drommer/sommerfugl.md,sommerfugl,426,5,204,dyr
MISTANKE,src/content/drommer/love.md,love,428,16,187,dyr
MISTANKE,src/content/drommer/elefant.md,elefant,429,4,211,dyr
MISTANKE,src/content/drommer/vindu.md,vindu,429,6,102,steder
MISTANKE,src/content/drommer/lys.md,lys,431,3,46,gjenstander
MISTANKE,src/content/drommer/munn.md,munn,432,0,8,kropp
MISTANKE,src/content/drommer/veps.md,veps,432,8,146,dyr
MISTANKE,src/content/drommer/tiger.md,tiger,434,0,2,dyr
MISTANKE,src/content/drommer/bein.md,bein,435,2,68,kropp
MISTANKE,src/content/drommer/hage.md,hage,436,1,30,steder
MISTANKE,src/content/drommer/bestefar.md,bestefar,439,0,6,mennesker
MISTANKE,src/content/drommer/gullfisk.md,gullfisk,441,0,20,dyr
MISTANKE,src/content/drommer/miste-noe.md,miste-noe,441,8,197,hendelser
MISTANKE,src/content/drommer/vikingskip.md,vikingskip,443,0,8,aandelig
MISTANKE,src/content/drommer/nisse.md,nisse,444,1,18,aandelig
MISTANKE,src/content/drommer/ku.md,ku,445,5,71,dyr
MISTANKE,src/content/drommer/bunad.md,bunad,449,3,28,gjenstander
MISTANKE,src/content/drommer/ore.md,ore,449,0,19,kropp
MISTANKE,src/content/drommer/telefon.md,telefon,449,7,152,gjenstander
MISTANKE,src/content/drommer/jordskjelv.md,jordskjelv,450,0,5,natur
MISTANKE,src/content/drommer/elg.md,elg,451,9,224,natur
MISTANKE,src/content/drommer/gris.md,gris,455,8,80,dyr
MISTANKE,src/content/drommer/jobbe-drom.md,jobbe-drom,455,0,88,hendelser
MISTANKE,src/content/drommer/internett.md,internett,457,0,2,gjenstander
MISTANKE,src/content/drommer/mus.md,mus,458,2,170,dyr
MISTANKE,src/content/drommer/vinne-penger.md,vinne-penger,458,3,132,gjenstander
MISTANKE,src/content/drommer/sol.md,sol,459,1,38,natur
MISTANKE,src/content/drommer/snoskred.md,snoskred,468,1,28,natur
MISTANKE,src/content/drommer/utlandet.md,utlandet,468,0,18,steder
MISTANKE,src/content/drommer/rygg.md,rygg,469,0,30,kropp
MISTANKE,src/content/drommer/soester.md,soester,471,3,37,mennesker
MISTANKE,src/content/drommer/nokler.md,nokler,478,1,53,gjenstander
MISTANKE,src/content/drommer/flom.md,flom,479,0,46,natur
MISTANKE,src/content/drommer/is.md,is,479,0,24,natur
MISTANKE,src/content/drommer/sen.md,sen,479,5,121,hendelser
MISTANKE,src/content/drommer/bli-skutt.md,bli-skutt,481,0,3,hendelser
MISTANKE,src/content/drommer/sau.md,sau,481,3,67,dyr
MISTANKE,src/content/drommer/orn.md,orn,485,2,177,dyr
MISTANKE,src/content/drommer/tog.md,tog,485,4,195,steder
MISTANKE,src/content/drommer/hytte.md,hytte,488,0,44,steder
MISTANKE,src/content/drommer/laks.md,laks,489,4,26,natur
MISTANKE,src/content/drommer/fjord.md,fjord,491,0,8,natur
MISTANKE,src/content/drommer/rev.md,rev,498,16,508,dyr
MISTANKE,src/content/drommer/strand.md,strand,498,3,55,steder
MISTANKE,src/content/drommer/mat.md,mat,499,2,130,gjenstander
MISTANKE,src/content/drommer/kjaereste.md,kjaereste,500,1,102,mennesker
MISTANKE,src/content/drommer/sykdom.md,sykdom,505,5,188,hendelser
MISTANKE,src/content/drommer/sosiale-medier.md,sosiale-medier,509,0,0,gjenstander
MISTANKE,src/content/drommer/vei.md,vei,509,2,26,steder
MISTANKE,src/content/drommer/oyne.md,oyne,510,7,139,kropp
MISTANKE,src/content/drommer/har.md,har,514,0,8,kropp
MISTANKE,src/content/drommer/regnbue.md,regnbue,516,3,96,natur
MISTANKE,src/content/drommer/svomme.md,svomme,516,1,96,hendelser
MISTANKE,src/content/drommer/dans.md,dans,517,3,53,hendelser
MISTANKE,src/content/drommer/oke.md,oke,520,0,1,natur
MISTANKE,src/content/drommer/gull.md,gull,522,4,95,gjenstander
MISTANKE,src/content/drommer/stavkirke.md,stavkirke,522,0,14,aandelig
MISTANKE,src/content/drommer/rose.md,rose,525,0,11,natur
MISTANKE,src/content/drommer/sjef.md,sjef,527,1,39,mennesker
MISTANKE,src/content/drommer/hval.md,hval,530,1,11,dyr
MISTANKE,src/content/drommer/alkohol.md,alkohol,533,1,37,gjenstander
MISTANKE,src/content/drommer/sloss.md,sloss,538,3,102,hendelser
MISTANKE,src/content/drommer/orken.md,orken,539,1,14,natur
MISTANKE,src/content/drommer/far.md,far,541,1,29,mennesker
MISTANKE,src/content/drommer/fly-misser.md,fly-misser,541,3,105,hendelser
MISTANKE,src/content/drommer/vinne.md,vinne,543,0,36,hendelser
MISTANKE,src/content/drommer/tape.md,tape,547,1,7,hendelser
MISTANKE,src/content/drommer/musikk.md,musikk,550,1,48,gjenstander
MISTANKE,src/content/sovn/sovnmaske.md,sovnmaske,553,0,0,produkter
MISTANKE,src/content/drommer/redde-noen.md,redde-noen,557,1,25,hendelser
MISTANKE,src/content/drommer/underliv.md,underliv,559,1,10,kropp
MISTANKE,src/content/drommer/loft.md,loft,561,0,25,steder
MISTANKE,src/content/drommer/tvillinger.md,tvillinger,561,2,62,mennesker
MISTANKE,src/content/drommer/moerke.md,moerke,563,3,19,natur
MISTANKE,src/content/drommer/orgasme.md,orgasme,570,5,84,aandelig
MISTANKE,src/content/drommer/eksamen.md,eksamen,572,1,10,hendelser
MISTANKE,src/content/drommer/lykke.md,lykke,572,0,1,hendelser
MISTANKE,src/content/drommer/skamme.md,skamme,573,1,7,hendelser
MISTANKE,src/content/drommer/ensomhet.md,ensomhet,574,2,7,hendelser
MISTANKE,src/content/drommer/hud.md,hud,574,0,47,kropp
MISTANKE,src/content/drommer/barn.md,barn,575,21,444,mennesker
MISTANKE,src/content/drommer/overfalt.md,overfalt,575,0,20,hendelser
MISTANKE,src/content/drommer/kjeller.md,kjeller,577,0,39,steder
MISTANKE,src/content/drommer/delfin.md,delfin,578,2,81,dyr
MISTANKE,src/content/drommer/oase.md,oase,578,1,52,natur
MISTANKE,src/content/sovn/polyfasisk-sovn.md,polyfasisk-sovn,581,0,27,vitenskap
MISTANKE,src/content/drommer/gravid.md,gravid,582,9,709,hendelser
MISTANKE,src/content/drommer/kyss.md,kyss,582,9,170,mennesker
MISTANKE,src/content/drommer/forlovelse.md,forlovelse,583,0,14,hendelser
MISTANKE,src/content/drommer/bil-uten-brems.md,bil-uten-brems,586,5,80,hendelser
MISTANKE,src/content/drommer/fremmed.md,fremmed,587,5,145,mennesker
MISTANKE,src/content/drommer/innbruddstyv.md,innbruddstyv,588,7,121,hendelser
MISTANKE,src/content/drommer/nagle.md,nagle,588,0,12,kropp
MISTANKE,src/content/drommer/sopp.md,sopp,588,1,26,natur
MISTANKE,src/content/drommer/slange.md,slange,589,1,71,dyr
MISTANKE,src/content/drommer/bro.md,bro,591,6,104,steder
MISTANKE,src/content/drommer/gud.md,gud,591,0,2,aandelig
MISTANKE,src/content/drommer/rotte.md,rotte,596,11,407,dyr
MISTANKE,src/content/sovn/melatonin.md,melatonin,597,0,737,vitenskap
OK,src/content/drommer/kollega-sex.md,kollega-sex,601,7,54,aandelig
OK,src/content/drommer/djevel.md,djevel,604,2,53,aandelig
OK,src/content/sovn/sovn-eldre.md,sovn-eldre,606,0,7,livsfaser
OK,src/content/sovn/sovn-immunforsvar.md,sovn-immunforsvar,606,0,39,vitenskap
OK,src/content/sovn/trening-sovn.md,trening-sovn,608,0,7,hygiene
OK,src/content/drommer/ammende.md,ammende,609,5,69,kropp
OK,src/content/drommer/bryst.md,bryst,609,6,29,kropp
OK,src/content/drommer/saar.md,saar,610,6,48,kropp
OK,src/content/sovn/koffein-sovn.md,koffein-sovn,611,0,16,hygiene
OK,src/content/drommer/bli-reddet.md,bli-reddet,612,3,17,hendelser
OK,src/content/drommer/krangel.md,krangel,612,7,100,hendelser
OK,src/content/drommer/foede.md,foede,617,0,2,kropp
OK,src/content/drommer/fugl.md,fugl,622,12,417,dyr
OK,src/content/drommer/fot.md,fot,624,0,39,kropp
OK,src/content/drommer/mor.md,mor,625,6,65,mennesker
OK,src/content/drommer/drage.md,drage,629,2,43,dyr
OK,src/content/drommer/utroskap-partner.md,utroskap-partner,630,18,1161,mennesker
OK,src/content/drommer/baby-gutt.md,baby-gutt,633,2,25,mennesker
OK,src/content/drommer/fremmed-sex.md,fremmed-sex,633,5,73,aandelig
OK,src/content/drommer/nordlys.md,nordlys,633,0,31,aandelig
OK,src/content/sovn/alkohol-sovn.md,alkohol-sovn,633,0,30,hygiene
OK,src/content/sovn/vektet-teppe.md,vektet-teppe,638,0,30,produkter
OK,src/content/drommer/drukne-barn.md,drukne-barn,639,14,150,hendelser
OK,src/content/sovn/depresjon-sovn.md,depresjon-sovn,639,0,45,psykologi
OK,src/content/drommer/skille-lag.md,skille-lag,640,4,65,mennesker
OK,src/content/sovn/tenaring-sovn.md,tenaring-sovn,647,0,0,livsfaser
OK,src/content/drommer/orm.md,orm,650,3,95,dyr
OK,src/content/drommer/homofil-drom.md,homofil-drom,657,4,58,aandelig
OK,src/content/drommer/kjaerlighet.md,kjaerlighet,658,1,51,mennesker
OK,src/content/drommer/eksen-sex.md,eksen-sex,659,6,200,aandelig
OK,src/content/sovn/sovnbehov.md,sovnbehov,660,0,649,vitenskap
OK,src/content/drommer/toalett.md,toalett,662,15,209,steder
OK,src/content/drommer/miste-baby.md,miste-baby,667,9,126,hendelser
OK,src/content/drommer/grate.md,grate,669,11,131,hendelser
OK,src/content/sovn/menopause-sovn.md,menopause-sovn,672,0,48,livsfaser
OK,src/content/drommer/hjerte.md,hjerte,673,1,52,kropp
OK,src/content/drommer/fodsel.md,fodsel,674,5,199,hendelser
OK,src/content/drommer/vaere-gravid-mann.md,vaere-gravid-mann,676,1,15,kropp
OK,src/content/drommer/menstruasjon.md,menstruasjon,677,3,91,kropp
OK,src/content/drommer/penger.md,penger,681,0,19,gjenstander
OK,src/content/drommer/avdod-person.md,avdod-person,686,0,87,mennesker
OK,src/content/drommer/bli-fortapt.md,bli-fortapt,686,0,15,hendelser
OK,src/content/drommer/samleie.md,samleie,688,1,31,aandelig
OK,src/content/drommer/arr.md,arr,689,0,6,kropp
OK,src/content/sovn/sovnapper.md,sovnapper,692,0,11,produkter
OK,src/content/sovn/sovnapne.md,sovnapne,693,0,71,lidelser
OK,src/content/sovn/astralprosjeksjon.md,astralprosjeksjon,694,0,16,psykologi
OK,src/content/sovn/ptsd-drommer.md,ptsd-drommer,694,1,42,psykologi
OK,src/content/sovn/hvit-stoy-sovn.md,hvit-stoy-sovn,695,0,21,produkter
OK,src/content/drommer/utroskap.md,utroskap,701,0,3,hendelser
OK,src/content/drommer/elv.md,elv,705,3,49,natur
OK,src/content/drommer/hode.md,hode,707,0,50,kropp
OK,src/content/drommer/helvete.md,helvete,714,0,8,aandelig
OK,src/content/drommer/sex.md,sex,717,3,190,hendelser
OK,src/content/drommer/engler.md,engler,728,2,22,aandelig
OK,src/content/drommer/kirke.md,kirke,728,1,32,aandelig
OK,src/content/sovn/norrene-drommesagaer.md,norrene-drommesagaer,732,0,15,psykologi
OK,src/content/sovn/sovntilskudd.md,sovntilskudd,733,0,25,produkter
OK,src/content/drommer/ild.md,ild,744,0,24,hendelser
OK,src/content/drommer/himmel.md,himmel,755,0,15,aandelig
OK,src/content/drommer/troll.md,troll,761,3,41,aandelig
OK,src/content/sovn/leggetidsrutine.md,leggetidsrutine,762,0,2,hygiene
OK,src/content/drommer/sno.md,sno,773,8,230,natur
OK,src/content/drommer/fly-styrter.md,fly-styrter,774,0,182,hendelser
OK,src/content/sovn/soverom-sovn.md,soverom-sovn,774,0,98,hygiene
OK,src/content/sovn/sorg-sovn.md,sorg-sovn,794,0,6,livsfaser
OK,src/content/drommer/fengsel.md,fengsel,803,4,83,steder
OK,src/content/drommer/krig.md,krig,804,11,258,hendelser
OK,src/content/drommer/sykkel.md,sykkel,804,1,89,gjenstander
OK,src/content/drommer/forfulgt.md,forfulgt,811,6,127,hendelser
OK,src/content/drommer/trapp.md,trapp,812,8,152,steder
OK,src/content/drommer/onkel.md,onkel,814,0,1,mennesker
OK,src/content/drommer/tante.md,tante,815,0,6,mennesker
OK,src/content/drommer/tre.md,tre,827,5,98,natur
OK,src/content/drommer/storm.md,storm,837,0,56,natur
OK,src/content/drommer/bie.md,bie,840,3,160,dyr
OK,src/content/drommer/krabbe.md,krabbe,842,4,69,dyr
OK,src/content/sovn/drommer-og-hjernen.md,drommer-og-hjernen,847,0,2,vitenskap
OK,src/content/drommer/drepe.md,drepe,849,7,443,hendelser
OK,src/content/drommer/dor.md,dor,851,0,8,steder
OK,src/content/drommer/flyging.md,flyging,851,6,464,hendelser
OK,src/content/drommer/skog.md,skog,859,1,71,steder
OK,src/content/sovn/angst-sovn.md,angst-sovn,863,1,78,psykologi
OK,src/content/drommer/bok.md,bok,882,1,13,gjenstander
OK,src/content/drommer/bad.md,bad,884,1,71,steder
OK,src/content/drommer/skole.md,skole,887,6,127,steder
OK,src/content/drommer/sykehus.md,sykehus,889,2,77,steder
OK,src/content/drommer/tann.md,tann,889,3,591,kropp
OK,src/content/drommer/bil.md,bil,890,8,535,hendelser
OK,src/content/drommer/morkt-rom.md,morkt-rom,893,2,23,steder
OK,src/content/sovn/sovn-graviditet.md,sovn-graviditet,895,0,215,livsfaser
OK,src/content/drommer/hender.md,hender,910,2,25,kropp
OK,src/content/drommer/hus.md,hus,914,10,364,steder
OK,src/content/drommer/falle.md,falle,915,8,528,hendelser
OK,src/content/drommer/drukne.md,drukne,916,3,248,hendelser
OK,src/content/drommer/hest.md,hest,916,0,47,dyr
OK,src/content/drommer/do.md,do,918,4,421,hendelser
OK,src/content/drommer/ulv.md,ulv,918,0,1,dyr
OK,src/content/sovn/dognrytme.md,dognrytme,926,0,33,vitenskap
OK,src/content/drommer/blod.md,blod,927,12,224,kropp
OK,src/content/drommer/fjell.md,fjell,929,3,135,steder
OK,src/content/drommer/hund.md,hund,929,0,2,dyr
OK,src/content/drommer/kjole.md,kjole,929,6,112,gjenstander
OK,src/content/sovn/beroemte-drommer.md,beroemte-drommer,929,0,3,vitenskap
OK,src/content/drommer/regn.md,regn,931,0,24,vann
OK,src/content/drommer/brann.md,brann,953,0,41,natur
OK,src/content/drommer/naken.md,naken,954,5,357,kropp
OK,src/content/drommer/speil.md,speil,956,1,109,gjenstander
OK,src/content/drommer/krage.md,krage,966,11,431,dyr
OK,src/content/sovn/hva-er-sovn.md,hva-er-sovn,967,0,62,vitenskap
OK,src/content/drommer/hav.md,hav,970,1,120,vann
OK,src/content/drommer/eksen.md,eksen,971,4,332,mennesker
OK,src/content/drommer/katt.md,katt,982,0,2,dyr
OK,src/content/drommer/baby.md,baby,1006,7,236,mennesker
OK,src/content/drommer/ulykke.md,ulykke,1007,1,72,hendelser
OK,src/content/drommer/edderkopp.md,edderkopp,1009,0,38,dyr
OK,src/content/sovn/sovnproblemer.md,sovnproblemer,1020,0,52,lidelser
OK,src/content/drommer/bjorn.md,bjorn,1032,17,434,dyr
OK,src/content/drommer/nabo.md,nabo,1043,1,8,mennesker
OK,src/content/sovn/hvorfor-drommer-vi.md,hvorfor-drommer-vi,1056,0,29,vitenskap
OK,src/content/drommer/bryllup.md,bryllup,1059,4,224,hendelser
OK,src/content/sovn/sovnhygiene.md,sovnhygiene,1112,0,3,hygiene
OK,src/content/sovn/sovnfaser.md,sovnfaser,1146,0,23,vitenskap
